VectorData v1.0
METADATA{
        filedescrible=TITAN风暴识别,date=2016-07-07,time=07:36:00,record=508,coord=GEO,dimension=3,invaild=9999
}
TAB{
        keyName=时效,质心x,质心y,质心z,最大反射率因子,投影面积,体积
        keyType=int,float,float,float,float,float,float

}
DATA BEGIN
VALUE 0 118.114 29.1152 1.5 36.5 60.781 121.562
POLYGON 73
118.227 29.265 9999
118.224 29.265 9999
118.221 29.265 9999
118.218 29.265 9999
118.215 29.265 9999
118.212 29.265 9999
118.209 29.265 9999
118.206 29.265 9999
118.205 29.2721 9999
118.204 29.275 9999
118.201 29.275 9999
118.198 29.275 9999
118.195 29.2752 9999
118.195 29.279 9999
118.195 29.2822 9999
118.195 29.2849 9999
118.191 29.285 9999
118.185 29.285 9999
118.185 29.2879 9999
118.185 29.2907 9999
118.185 29.2934 9999
118.185 29.2961 9999
118.185 29.2987 9999
118.185 29.3013 9999
118.185 29.3039 9999
118.185 29.3066 9999
118.185 29.3095 9999
118.185 29.3125 9999
118.185 29.3158 9999
118.185 29.3194 9999
118.185 29.3236 9999
118.188 29.325 9999
118.193 29.325 9999
118.196 29.325 9999
118.199 29.325 9999
118.202 29.325 9999
118.205 29.325 9999
118.208 29.325 9999
118.21 29.325 9999
118.212 29.325 9999
118.215 29.325 9999

VALUE 0 118.615 29.315 1.5 47 26.054 52.108
POLYGON 73
118.615 29.335 9999
118.617 29.335 9999
118.619 29.335 9999
118.62 29.335 9999
118.622 29.335 9999
118.624 29.335 9999
118.627 29.335 9999
118.629 29.335 9999
118.632 29.335 9999
118.635 29.335 9999
118.639 29.335 9999
118.644 29.335 9999
118.645 29.3323 9999
118.645 29.329 9999
118.645 29.3259 9999
118.645 29.323 9999
118.645 29.3203 9999
118.645 29.3176 9999
118.645 29.315 9999
118.645 29.3124 9999
118.645 29.3097 9999
118.645 29.307 9999
118.645 29.3041 9999
118.645 29.301 9999
118.645 29.2977 9999
118.644 29.295 9999
118.639 29.295 9999
118.635 29.295 9999
118.632 29.295 9999
118.629 29.295 9999
118.627 29.295 9999
118.624 29.295 9999
118.622 29.295 9999
118.62 29.295 9999
118.619 29.295 9999
118.617 29.295 9999
118.615 29.295 9999
118.613 29.295 9999
118.611 29.295 9999
118.61 29.295 9999
118.608 29.295 9999
118.606 29.295 9999
118.603 29.295 9999
118.601 29.295 9999
118.598 29.295 9999
118.595 29.295 9999
118.591 29.295 9999
118.586 29.295 9999
118.585 29.2977 9999
118.585 29.301 9999
118.585 29.3041 9999
118.585 29.307 9999
118.585 29.3097 9999
118.585 29.3124 9999
118.585 29.315 9999
118.585 29.3176 9999
118.585 29.3203 9999
118.585 29.323 9999
118.585 29.3259 9999
118.585 29.329 9999
118.585 29.3323 9999
118.586 29.335 9999
118.591 29.335 9999
118.595 29.335 9999
118.598 29.335 9999
118.601 29.335 9999
118.603 29.335 9999
118.606 29.335 9999
118.608 29.335 9999
118.61 29.335 9999
118.611 29.335 9999
118.613 29.335 9999
118.615 29.335 9999

VALUE 0 118.442 29.588 1.5 52.5 109.599 219.198
POLYGON 73
118.442 29.645 9999
118.446 29.635 9999
118.45 29.635 9999
118.454 29.635 9999
118.455 29.625 9999
118.459 29.625 9999
118.469 29.635 9999
118.475 29.635 9999
118.481 29.635 9999
118.489 29.635 9999
118.498 29.635 9999
118.505 29.6324 9999
118.505 29.6246 9999
118.505 29.6175 9999
118.505 29.6111 9999
118.495 29.6023 9999
118.495 29.5974 9999
118.495 29.5927 9999
118.495 29.588 9999
118.495 29.5834 9999
118.495 29.5786 9999
118.495 29.5737 9999
118.495 29.5686 9999
118.495 29.5632 9999
118.495 29.5572 9999
118.495 29.5507 9999
118.495 29.5433 9999
118.495 29.5347 9999
118.495 29.525 9999
118.486 29.525 9999
118.478 29.525 9999
118.466 29.535 9999
118.461 29.535 9999
118.456 29.535 9999
118.442 29.588 9999
118.442 29.588 9999
118.442 29.588 9999
118.442 29.588 9999
118.432 29.535 9999
118.427 29.535 9999
118.422 29.535 9999
118.417 29.535 9999
118.411 29.535 9999
118.405 29.535 9999
118.397 29.535 9999
118.389 29.535 9999
118.385 29.5405 9999
118.385 29.5483 9999
118.385 29.5553 9999
118.385 29.5616 9999
118.385 29.5674 9999
118.385 29.5728 9999
118.385 29.578 9999
118.385 29.5831 9999
118.385 29.588 9999
118.385 29.593 9999
118.385 29.598 9999
118.385 29.6032 9999
118.385 29.6087 9999
118.385 29.6145 9999
118.395 29.615 9999
118.395 29.6207 9999
118.395 29.6272 9999
118.395 29.6347 9999
118.395 29.6437 9999
118.402 29.645 9999
118.409 29.645 9999
118.415 29.645 9999
118.421 29.645 9999
118.426 29.645 9999
118.432 29.645 9999
118.437 29.645 9999
118.442 29.645 9999

VALUE 0 119.198 29.7733 1.5 57.5 254.946 509.892
POLYGON 73
119.198 29.805 9999
119.201 29.805 9999
119.209 29.835 9999
119.217 29.845 9999
119.224 29.845 9999
119.236 29.855 9999
119.245 29.855 9999
119.255 29.855 9999
119.265 29.853 9999
119.265 29.8402 9999
119.265 29.8294 9999
119.265 29.8201 9999
119.27 29.815 9999
119.285 29.8138 9999
119.285 29.8049 9999
119.285 29.7966 9999
119.285 29.7886 9999
119.285 29.7809 9999
119.285 29.7733 9999
119.295 29.7648 9999
119.295 29.7562 9999
119.295 29.7474 9999
119.305 29.7344 9999
119.305 29.7235 9999
119.305 29.7116 9999
119.305 29.6985 9999
119.295 29.692 9999
119.286 29.685 9999
119.235 29.7294 9999
119.235 29.7207 9999
119.235 29.7094 9999
119.235 29.6942 9999
119.23 29.685 9999
119.222 29.685 9999
119.214 29.685 9999
119.206 29.685 9999
119.198 29.725 9999
119.194 29.725 9999
119.19 29.725 9999
119.183 29.715 9999
119.177 29.715 9999
119.171 29.715 9999
119.164 29.715 9999
119.157 29.715 9999
119.155 29.7219 9999
119.155 29.7302 9999
119.152 29.735 9999
119.115 29.715 9999
119.105 29.7196 9999
119.105 29.7299 9999
119.105 29.7394 9999
119.105 29.7484 9999
119.095 29.7551 9999
119.095 29.7643 9999
119.095 29.7733 9999
119.095 29.7823 9999
119.095 29.7915 9999
119.095 29.801 9999
119.095 29.8109 9999
119.085 29.8261 9999
119.091 29.835 9999
119.11 29.835 9999
119.125 29.835 9999
119.136 29.835 9999
119.146 29.835 9999
119.155 29.835 9999
119.163 29.835 9999
119.165 29.8444 9999
119.172 29.845 9999
119.179 29.845 9999
119.194 29.795 9999
119.195 29.805 9999
119.198 29.805 9999

VALUE 0 120.688 29.8473 1.5 48 382.801 765.601
POLYGON 73
120.688 29.935 9999
120.696 29.945 9999
120.708 29.965 9999
120.719 29.965 9999
120.731 29.965 9999
120.752 29.985 9999
120.765 29.9812 9999
120.775 29.972 9999
120.785 29.9633 9999
120.785 29.945 9999
120.795 29.9373 9999
120.813 29.935 9999
120.822 29.925 9999
120.825 29.9113 9999
120.835 29.9009 9999
120.845 29.8895 9999
120.805 29.868 9999
120.795 29.8567 9999
120.785 29.8473 9999
120.775 29.8397 9999
120.765 29.8337 9999
120.765 29.8266 9999
120.765 29.8192 9999
120.765 29.8113 9999
120.785 29.7912 9999
120.785 29.7792 9999
120.738 29.805 9999
120.73 29.805 9999
120.723 29.805 9999
120.717 29.805 9999
120.712 29.805 9999
120.707 29.805 9999
120.705 29.7999 9999
120.705 29.7829 9999
120.7 29.775 9999
120.695 29.765 9999
120.688 29.765 9999
120.68 29.755 9999
120.67 29.745 9999
120.663 29.755 9999
120.655 29.7574 9999
120.649 29.765 9999
120.64 29.765 9999
120.623 29.755 9999
120.602 29.745 9999
120.595 29.7546 9999
120.545 29.7276 9999
120.535 29.7404 9999
120.525 29.7534 9999
120.515 29.7668 9999
120.515 29.7845 9999
120.555 29.8118 9999
120.555 29.8239 9999
120.605 29.8401 9999
120.615 29.8473 9999
120.615 29.8537 9999
120.635 29.8566 9999
120.635 29.8615 9999
120.639 29.865 9999
120.645 29.8673 9999
120.645 29.872 9999
120.648 29.875 9999
120.655 29.875 9999
120.66 29.875 9999
120.665 29.875 9999
120.665 29.8798 9999
120.666 29.885 9999
120.67 29.885 9999
120.674 29.885 9999
120.675 29.8949 9999
120.675 29.9196 9999
120.68 29.935 9999
120.688 29.935 9999

VALUE 0 120.406 29.7789 1.5 44.5 29.3097 58.6193
POLYGON 73
120.406 29.805 9999
120.408 29.805 9999
120.41 29.805 9999
120.413 29.805 9999
120.415 29.805 9999
120.418 29.805 9999
120.421 29.805 9999
120.424 29.805 9999
120.425 29.8021 9999
120.425 29.7983 9999
120.425 29.7952 9999
120.429 29.795 9999
120.433 29.795 9999
120.435 29.7926 9999
120.435 29.7896 9999
120.435 29.7868 9999
120.435 29.7841 9999
120.435 29.7815 9999
120.435 29.7789 9999
120.435 29.7763 9999
120.445 29.7719 9999
120.445 29.7683 9999
120.444 29.765 9999
120.435 29.765 9999
120.43 29.765 9999
120.425 29.765 9999
120.425 29.7626 9999
120.425 29.7594 9999
120.425 29.7557 9999
120.422 29.755 9999
120.419 29.755 9999
120.417 29.755 9999
120.414 29.755 9999
120.412 29.755 9999
120.41 29.755 9999
120.408 29.755 9999
120.406 29.755 9999
120.403 29.755 9999
120.401 29.755 9999
120.399 29.755 9999
120.397 29.755 9999
120.394 29.755 9999
120.392 29.755 9999
120.389 29.755 9999
120.386 29.755 9999
120.385 29.7583 9999
